Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,STEM_subjects,H_subjects,Dropout
LOCAL,1,Unmarried,31,LOCAL,LOCAL,2,UNSPECIFIED,1100000,UNDERGRADUATE,PRIMARY SCHOOL,38.7,40.7,YES
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,700000,UNDERGRADUATE,UNDERGRADUATE,41.8,32.3,NO
NEIGHBOR,2,Unmarried,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,2000000,UNDERGRADUATE,TECHNICAL,51.2,38.6,YES
LOCAL,1,Unmarried,29,LOCAL,NEIGHBOR,2,UNSPECIFIED,2400000,UNDERGRADUATE,UNDERGRADUATE,51,46.4,NO
LOCAL,2,Unmarried,27,LOCAL,NEIGHBOR,2,UNSPECIFIED,1800000,UNDERGRADUATE,TECHNICAL,57.1,39.1,NO
LOCAL,1,Unmarried,34,NEIGHBOR,FOREIGN,2,UNSPECIFIED,2162174,UNDERGRADUATE,UNDERGRADUATE,47.9,50.1,NO
LOCAL,3,Unmarried,30,NEIGHBOR,FOREIGN,2,UNSPECIFIED,2600000,UNDERGRADUATE,UNDERGRADUATE,45.3,40.7,NO
LOCAL,2,Unmarried,27,LOCAL,NEIGHBOR,2,UNSPECIFIED,5000000,UNDERGRADUATE,UNDERGRADUATE,60.5,63.9,NO
FOREIGN,3,Unmarried,23,NEIGHBOR,FOREIGN,2,UNSPECIFIED,7000000,UNDERGRADUATE,UNDERGRADUATE,59.5,37,YES
LOCAL,3,Unmarried,22,LOCAL,LOCAL,2,UNSPECIFIED,4250000,UNDERGRADUATE,HIGH SCHOOL,51.3,51.3,NO
LOCAL,4,Unmarried,32,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,UNDERGRADUATE,53.3,48.3,NO
NEIGHBOR,2,Unmarried,28,LOCAL,NEIGHBOR,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,46.2,47.8,YES
LOCAL,2,Unmarried,28,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,2000000,UNDERGRADUATE,UNDERGRADUATE,46.4,47.9,YES
LOCAL,3,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,1600000,UNDERGRADUATE,UNDERGRADUATE,40.7,43.5,YES
LOCAL,3,Unmarried,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,2000000,UNDERGRADUATE,HIGH SCHOOL,52.9,50.9,NO
LOCAL,3,Unmarried,26,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,52.2,50.6,NO
LOCAL,1,Unmarried,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1000000,UNDERGRADUATE,UNDERGRADUATE,55.6,41.7,NO
LOCAL,2,Unmarried,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1500000,UNDERGRADUATE,UNDERGRADUATE,42.6,50,NO
LOCAL,3,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,1675600,UNDERGRADUATE,HIGH SCHOOL,63.7,55.3,NO
LOCAL,2,Unmarried,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,1270000,UNDERGRADUATE,UNDERGRADUATE,63.2,45.7,YES
LOCAL,4,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,5000000,UNDERGRADUATE,PRIMARY SCHOOL,55,42.3,NO
LOCAL,2,Unmarried,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,5000000,UNDERGRADUATE,HIGH SCHOOL,53.7,41.1,YES
LOCAL,3,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,UNDERGRADUATE,58.3,34.9,NO
LOCAL,4,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,2400000,UNDERGRADUATE,UNDERGRADUATE,52.1,38.6,NO
LOCAL,4,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,43.8,49.1,NO
LOCAL,3,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,1800000,UNDERGRADUATE,HIGH SCHOOL,47.1,51.5,NO
LOCAL,1,Unmarried,24,LOCAL,NEIGHBOR,1,UNSPECIFIED,500000,UNDERGRADUATE,HIGH SCHOOL,52,51.3,YES
LOCAL,3,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,3500000,UNDERGRADUATE,HIGH SCHOOL,55.3,39.3,NO
LOCAL,4,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,UNDERGRADUATE,47.3,51,NO
LOCAL,2,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,4000000,UNDERGRADUATE,UNDERGRADUATE,46.8,34.8,YES
LOCAL,3,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,5600000,UNDERGRADUATE,UNDERGRADUATE,61.8,44,NO
LOCAL,3,Unmarried,24,LOCAL,LOCAL,-1,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,40.8,40.5,YES
LOCAL,3,Unmarried,23,LOCAL,LOCAL,-1,UNSPECIFIED,1500000,UNDERGRADUATE,UNDERGRADUATE,49.5,38,YES
LOCAL,4,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,55.5,51.3,NO
LOCAL,3,Unmarried,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,2400000,UNDERGRADUATE,UNDERGRADUATE,49.5,50.8,NO
LOCAL,2,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,3500000,UNDERGRADUATE,UNDERGRADUATE,55.3,40.8,NO
LOCAL,3,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,2270000,UNDERGRADUATE,HIGH SCHOOL,51.8,50.3,NO
LOCAL,3,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,49.8,35.3,NO
LOCAL,1,Unmarried,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,51.3,38,NO
LOCAL,3,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,3500000,UNDERGRADUATE,UNDERGRADUATE,48.8,53.5,NO
LOCAL,3,Unmarried,22,LOCAL,LOCAL,2,UNSPECIFIED,1500000,UNDERGRADUATE,UNDERGRADUATE,45,43.8,NO
LOCAL,1,Unmarried,22,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,TECHNICAL,57.8,37,YES
LOCAL,3,Unmarried,21,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,55.8,41.3,NO
LOCAL,3,Unmarried,21,LOCAL,LOCAL,2,UNSPECIFIED,4000000,UNDERGRADUATE,UNDERGRADUATE,64.3,66.8,YES
LOCAL,1,Unmarried,26,LOCAL,LOCAL,2,UNSPECIFIED,0,UNREGISTERED,UNREGISTERED,44.9,43.5,YES
